nome_campeonato,temporada,pais,rodada,time_dentro,time_fora,resultado_final,resultado_final_v_d_e,gols_mandante,gols_visitante,horario,turno,dia_semana,posicao_time_dentro,posicao_time_fora,ultimo_jogo_casa,segundo_ultimo_jogo_casa,terceiro_ultimo_jogo_casa,quarto_ultimo_jogo_casa,quinto_ultimo_jogo_casa,ultimo_jogo_visitante,segundo_ultimo_jogo_visitante,terceiro_ultimo_jogo_visitante,quarto_ultimo_jogo_visitante,quinto_ultimo_jogo_visitante,media_gols_marcados_por_jogo_time_casa_em_casa,media_gols_marcados_por_jogo_time_casa_fora,media_gols_marcados_por_jogo_time_casa_global,media_gols_sofridos_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_casa_fora,media_gols_sofridos_por_jogo_time_casa_global,media_gols_marcados_sofridos_por_jogo_time_casa_em_casa,media_gols_marcados_sofridos_por_jogo_time_casa_fora,media_gols_marcados_sofridos_por_jogo_time_casa_global,jogos_sem_sofrer_gols_time_casa_em_casa,jogos_sem_sofrer_gols_time_casa_fora,jogos_sem_sofrer_gols_time_casa_global,jogos_sem_marcar_gols_time_casa_em_casa,jogos_sem_marcar_gols_time_casa_fora,jogos_sem_marcar_gols_time_casa_global,jogos_com_mais_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_casa_fora,jogos_com_mais_de_dois_gols_e_meio_time_casa_global,jogos_com_menos_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_casa_fora,jogos_com_menos_de_dois_gols_e_meio_time_casa_global,media_gols_marcados_por_jogo_time_visitante_em_casa,media_gols_marcados_por_jogo_time_visitante_fora,media_gols_marcados_por_jogo_time_visitante_global,media_gols_sofridos_por_jogo_time_visitante_em_casa,media_gols_sofridos_por_jogo_time_visitante_fora,media_gols_sofridos_por_jogo_time_visitante_global,media_gols_marcados_sofridos_por_jogo_time_visitante_em_casa,media_gols_marcados_sofridos_por_jogo_time_visitante_fora,media_gols_marcados_sofridos_por_jogo_time_visitante_global,jogos_sem_sofrer_gols_time_visitante_em_casa,jogos_sem_sofrer_gols_time_visitante_fora,jogos_sem_sofrer_gols_time_visitante_global,jogos_sem_marcar_gols_time_visitante_em_casa,jogos_sem_marcar_gols_time_visitante_fora,jogos_sem_marcar_gols_time_visitante_global,jogos_com_mais_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_visitante_fora,jogos_com_mais_de_dois_gols_e_meio_time_visitante_global,jogos_com_menos_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_visitante_fora,jogos_com_menos_de_dois_gols_e_meio_time_visitante_global,gols_marcados_time_casa_primeiro_sexto,gols_sofridos_time_casa_primeiro_sexto,gols_marcados_time_casa_segundo_sexto,gols_sofridos_time_casa_segundo_sexto,gols_marcados_time_casa_terceiro_sexto,gols_sofridos_time_casa_terceiro_sexto,gols_marcados_time_casa_quarto_sexto,gols_sofridos_time_casa_quarto_sexto,gols_marcados_time_casa_quinto_sexto,gols_sofridos_time_casa_quinto_sexto,gols_marcados_time_casa_ultimo_sexto,gols_sofridos_time_casa_ultimo_sexto,gols_marcados_time_visitante_primeiro_sexto,gols_sofridos_time_visitante_primeiro_sexto,gols_marcados_time_visitante_segundo_sexto,gols_sofridos_time_visitante_segundo_sexto,gols_marcados_time_visitante_terceiro_sexto,gols_sofridos_time_visitante_terceiro_sexto,gols_marcados_time_visitante_quarto_sexto,gols_sofridos_time_visitante_quarto_sexto,gols_marcados_time_visitante_quinto_sexto,gols_sofridos_time_visitante_quinto_sexto,gols_marcados_time_visitante_ultimo_sexto,gols_sofridos_time_visitante_ultimo_sexto,minuto_primeira_expulsao_time_a,minuto_segunda_expulsao_time_a,minuto_terceira_expulsao_time_a,minuto_quarta_expulsao_time_a,minuto_primeira_expulsao_time_b,minuto_segunda_expulsao_time_b,minuto_terceira_expulsao_time_b,minuto_quarta_expulsao_time_b,placar_momento_expulsao_um,placar_momento_expulsao_dois,placar_momento_expulsao_tres,placar_momento_expulsao_quatro,placar_momento_expulsao_cinco,placar_momento_expulsao_seis,placar_momento_expulsao_sete,placar_momento_expulsao_oito,expulsao_um_cartao,expulsao_dois_cartao,expulsao_tres_cartao,expulsao_quatro_cartao,expulsao_cinco_cartao,expulsao_seis_cartao,expulsao_sete_cartao,expulsao_oito_cartao,quantidade_de_gols_apos_expulsao_um_time_a,quantidade_de_gols_apos_expulsao_um_time_b,quantidade_de_gols_apos_expulsao_dois_time_a,quantidade_de_gols_apos_expulsao_dois_time_b,quantidade_de_gols_apos_expulsao_tres_time_a,quantidade_de_gols_apos_expulsao_tres_time_b,quantidade_de_gols_apos_expulsao_quatro_time_a,quantidade_de_gols_apos_expulsao_quatro_time_b,quantidade_de_gols_apos_expulsao_cinco_time_a,quantidade_de_gols_apos_expulsao_cinco_time_b,quantidade_de_gols_apos_expulsao_seis_time_a,quantidade_de_gols_apos_expulsao_seis_time_b,quantidade_de_gols_apos_expulsao_sete_time_a,quantidade_de_gols_apos_expulsao_sete_time_b,quantidade_de_gols_apos_expulsao_oito_time_a,quantidade_de_gols_apos_expulsao_oito_time_b,quantidade_de_gols_no_momento_expulsao_um_time_a,quantidade_de_gols_no_momento_expulsao_um_time_b,quantidade_de_gols_no_momento_expulsao_dois_time_a,quantidade_de_gols_no_momento_expulsao_dois_time_b,quantidade_de_gols_no_momento_expulsao_tres_time_a,quantidade_de_gols_no_momento_expulsao_tres_time_b,quantidade_de_gols_no_momento_expulsao_quatro_time_a,quantidade_de_gols_no_momento_expulsao_quatro_time_b,quantidade_de_gols_no_momento_expulsao_cinco_time_a,quantidade_de_gols_no_momento_expulsao_cinco_time_b,quantidade_de_gols_no_momento_expulsao_seis_time_a,quantidade_de_gols_no_momento_expulsao_seis_time_b,quantidade_de_gols_no_momento_expulsao_sete_time_a,quantidade_de_gols_no_momento_expulsao_sete_time_b,quantidade_de_gols_no_momento_expulsao_oito_time_a,quantidade_de_gols_no_momento_expulsao_oito_time_b,intervalo_expulsao_um_v_d_e,intervalo_expulsao_dois_v_d_e,intervalo_expulsao_tres_v_d_e,intervalo_expulsao_quatro_v_d_e,intervalo_expulsao_cinco_v_d_e,intervalo_expulsao_seis_v_d_e,intervalo_expulsao_sete_v_d_e,intervalo_expulsao_oito_v_d_e,momento_expulsao_um_v_d_e,momento_expulsao_dois_v_d_e,momento_expulsao_tres_v_d_e,momento_expulsao_quatro_v_d_e,momento_expulsao_cinco_v_d_e,momento_expulsao_seis_v_d_e,momento_expulsao_sete_v_d_e,momento_expulsao_oito_v_d_e,expulsao_um_m_v,expulsao_dois_m_v,expulsao_tres_m_v,expulsao_quatro_m_v,expulsao_cinco_m_v,expulsao_seis_m_v,expulsao_sete_m_v,expulsao_oito_m_v,qtd_expulsoes_time_a,qtd_expulsoes_time_b,posse_time_a,posse_time_b,chutes_a_gol_time_a,chutes_a_gol_time_b,chutes_fora_time_a,chutes_fora_time_b,ataques_time_a,ataques_time_b,ataques_perigosos_time_a,ataques_perigosos_time_b,impedimentos_time_a,impedimentos_time_b,faltas_time_a,faltas_time_b,escanteios_time_a,escanteios_time_b
Brasileirão Série A,2018,Brasil,13,Flamengo,São Paulo,0 - 1,D,0,1,2018-07-18 21:45:00,Noite,Quarta-feira,1,3,E,V,V,V,V,V,V,E,D,V,1.67,1.83,1.75,0.17,1.0,0.58,1.84,2.83,2.33,0.83,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.25,1.0,0.5,0.75,1.67,1.33,1.5,0.67,1.17,0.92,2.34,2.5,2.42,0.67,0.33,0.5,0.17,0.17,0.17,0.5,0.5,0.5,0.5,0.5,0.5,1,0,2,1,3,0,0,0,2,0,2,0,1,2,1,0,2,1,0,1,2,2,1,1,,,,,93,,,,0-1,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,,,11,0,8,9,85,48,59,29,0,3,11,14,9,5
Brasileirão Série A,2018,Brasil,13,Atlético PR,Internacional,2 - 2,E,2,2,2018-07-19 21:00:00,Noite,Quinta-Feira,19,4,E,D,D,D,D,V,V,E,E,V,1.8,0.14,0.83,1.4,1.14,1.25,3.2,1.28,2.08,0.2,0.43,0.33,0.2,0.86,0.58,0.6,0.14,0.33,0.4,0.86,0.67,1.67,0.83,1.25,0.33,1.0,0.67,2.0,1.83,1.92,0.67,0.33,0.5,0.33,0.67,0.5,0.5,0.33,0.42,0.5,0.67,0.58,0,0,1,0,1,1,3,3,1,2,3,1,0,0,1,0,2,2,1,2,0,1,1,1,92,,,,,,,,2-2,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Mandante,,,,,,,,1,0,,,5,1,9,7,65,66,45,35,2,1,11,16,4,6
Brasileirão Série A,2018,Brasil,12,São Paulo,Vitória,3 - 0,V,3,0,2018-06-12 21:30:00,Noite,Terça-feira,3,15,V,E,D,V,V,E,V,D,D,E,1.4,1.33,1.36,0.8,1.17,1.0,2.2,2.5,2.36,0.6,0.33,0.45,0.2,0.17,0.18,0.4,0.5,0.45,0.6,0.5,0.55,1.6,1.33,1.45,1.6,2.0,1.82,3.2,3.33,3.27,0.2,0.17,0.18,0.0,0.17,0.09,0.8,0.67,0.73,0.2,0.33,0.27,0,0,2,1,3,0,1,0,0,1,1,2,0,1,1,3,1,5,0,0,2,2,4,1,77,,,,35,,,,1-0,3-0,,,,,,,Vermelho direto,Segundo amarelo,,,,,,,2,0,0,0,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,V,E,,,,,,,V,V,,,,,,,Visitante,Mandante,,,,,,,1,1,0.57,0.43,2,5,8,1,63,58,45,32,5,1,25,17,6,1
Brasileirão Série A,2018,Brasil,12,Palmeiras,Flamengo,1 - 1,E,1,1,2018-06-13 21:00:00,Noite,Quarta-feira,6,1,E,V,V,D,D,V,V,V,V,V,1.8,1.33,1.55,0.8,1.0,0.91,2.6,2.33,2.46,0.6,0.17,0.36,0.2,0.33,0.27,0.6,0.33,0.45,0.4,0.67,0.55,1.67,2.0,1.82,0.17,1.0,0.55,1.84,3.0,2.37,0.83,0.6,0.73,0.0,0.0,0.0,0.0,0.6,0.27,1.0,0.4,0.73,1,0,0,0,4,0,1,1,2,1,1,1,1,1,1,1,1,0,2,0,2,1,3,2,96,97,98,,96,97,97,,1-1,1-1,1-1,1-1,1-1,1-1,,,Vermelho direto,Vermelho direto,Vermelho direto,Vermelho direto,Vermelho direto,Vermelho direto,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,E,E,E,E,E,E,,,E,E,E,E,E,E,,,Mandante,Visitante,Mandante,Visitante,Visitante,Mandante,,,3,3,0.53,0.47,4,7,8,4,51,45,28,31,,,21,17,4,6
Brasileirão Série A,2018,Brasil,11,Bahia,Botafogo,3 - 3,E,3,3,2018-06-10 16:00:00,Tarde,Domingo,19,12,D,D,D,V,V,E,V,D,E,D,1.2,0.0,0.0,0.8,2.0,1.4,2.0,2.0,1.4,0.6,0.0,0.3,0.4,1.0,0.7,0.4,0.2,0.3,0.6,0.8,0.7,1.2,1.0,1.1,0.8,1.4,1.1,2.0,2.4,2.2,0.2,0.0,0.1,0.2,0.4,0.3,0.4,0.4,0.4,0.6,0.6,0.6,1,1,0,0,1,1,0,0,1,0,3,2,1,0,1,1,1,2,0,1,0,1,2,2,,,,,46,,,,0-1,,,,,,,,Segundo amarelo,,,,,,,,3,2,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,V,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,0.63,0.37,8,3,4,5,65,37,47,18,3,0,24,8,13,1
Brasileirão Série A,2018,Brasil,11,Santos,Internacional,1 - 2,D,1,2,2018-06-10 19:00:00,Noite,Domingo,15,8,E,V,D,D,E,E,E,V,V,V,2.5,0.4,1.33,1.0,2.0,1.56,3.5,2.4,2.89,0.25,0.0,0.11,0.25,0.6,0.44,0.5,0.2,0.33,0.5,0.8,0.67,1.4,0.6,1.0,0.2,1.0,0.6,1.6,1.6,1.6,0.8,0.4,0.6,0.4,0.8,0.6,0.4,0.2,0.3,0.6,0.8,0.7,0,0,2,0,3,0,3,0,1,2,1,2,0,0,1,0,1,2,0,1,0,1,1,1,54,,,,,,,,1-2,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.58,0.42,3,1,6,9,81,69,39,34,1,1,8,18,7,2
Brasileirão Série A,2018,Brasil,9,Atlético MG,Chapecoense,3 - 3,E,3,3,2018-06-02 16:00:00,Tarde,Sábado,8,15,D,D,V,E,V,V,D,D,E,V,1.0,1.75,1.38,0.5,2.0,1.25,1.5,3.75,2.63,0.5,0.0,0.25,0.25,0.0,0.0,0.25,1.0,0.63,0.75,0.0,0.38,1.75,0.5,1.13,1.0,2.75,1.88,2.75,3.25,3.01,0.25,0.25,0.25,0.0,0.5,0.25,0.25,0.75,0.5,0.75,0.25,0.5,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,2,0,1,2,3,0,1,0,4,,,,,38,,,,2-1,,,,,,,,Segundo amarelo,,,,,,,,1,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.61,0.39,3,0,13,3,53,41,39,17,0,6,14,15,6,3
Brasileirão Série A,2018,Brasil,8,Vasco,Paraná,1 - 0,V,1,0,2018-05-30 19:30:00,Noite,Quarta-feira,13,20,D,V,E,D,D,E,E,D,E,D,2.67,0.67,1.67,1.67,1.67,1.67,4.34,2.34,3.34,0.0,0.0,0.0,0.0,0.33,0.17,1.0,0.33,0.67,0.0,0.67,0.33,0.25,0.67,0.43,1.5,1.67,1.57,1.75,2.34,2.0,0.5,0.0,0.29,0.75,0.33,0.57,0.5,0.33,0.43,0.5,0.67,0.57,0,1,0,1,1,1,1,0,1,1,5,1,0,0,0,0,0,1,0,2,1,1,1,1,93,,,,87,,,,1-0,1-0,,,,,,,Vermelho direto,Vermelho direto,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,E,E,,,,,,,V,V,,,,,,,Visitante,Mandante,,,,,,,1,1,0.47,0.53,5,4,9,4,56,49,39,26,0,3,23,18,4,2
Brasileirão Série A,2018,Brasil,8,Corinthians,América MG,1 - 0,V,1,0,2018-05-31 18:00:00,Noite,Quinta-Feira,6,11,D,D,E,V,V,D,E,V,E,D,1.33,1.5,1.43,0.67,1.0,0.86,2.0,2.5,2.29,0.33,0.25,0.29,0.0,0.25,0.14,0.33,0.5,0.43,0.67,0.5,0.57,1.75,1.0,1.43,1.0,2.67,1.71,2.75,3.67,3.14,0.5,0.0,0.29,0.0,0.33,0.14,0.75,0.67,0.71,0.25,0.33,0.29,0,1,0,0,3,0,0,1,0,0,1,0,1,0,1,1,1,2,0,1,0,1,0,3,,,,,89,90,,,1-0,1-0,,,,,,,Segundo amarelo,Vermelho direto,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,E,E,,,,,,,V,V,,,,,,,Visitante,Visitante,,,,,,,0,2,0.54,0.46,3,7,4,5,47,37,38,19,2,1,13,13,1,4
Brasileirão Série A,2018,Brasil,7,Palmeiras,Sport,2 - 3,D,2,3,2018-05-26 19:00:00,Noite,Sábado,4,12,E,V,V,D,V,E,D,V,V,E,1.33,1.33,1.33,0.0,1.0,0.5,1.33,2.33,1.83,1.0,0.0,0.5,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67,0.67,1.33,0.67,1.0,0.67,2.0,1.33,2.0,2.67,2.33,0.33,0.0,0.17,0.0,0.67,0.33,0.0,0.67,0.33,1.0,0.33,0.67,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,1,,,,,95,,,,2-3,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,0.62,0.38,3,6,6,3,69,44,51,28,4,0,16,9,9,3
Brasileirão Série A,2018,Brasil,7,Bahia,Vasco,3 - 0,V,3,0,2018-05-27 16:00:00,Tarde,Domingo,18,9,V,D,E,V,D,V,E,D,D,V,1.0,0.0,0.0,0.67,2.33,1.5,1.67,2.33,1.5,0.67,0.0,0.33,0.33,1.0,0.67,0.33,0.33,0.33,0.67,0.67,0.67,2.67,1.0,2.0,1.67,1.0,1.4,4.34,2.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,,,,,85,,,,1-0,,,,,,,,Segundo amarelo,,,,,,,,2,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.56,0.44,4,1,3,1,55,52,29,26,3,2,19,16,4,2
Brasileirão Série A,2018,Brasil,6,Atlético MG,Cruzeiro,1 - 0,V,1,0,2018-05-19 16:00:00,Tarde,Sábado,3,8,E,V,E,E,E,V,V,V,V,E,1.5,1.67,1.6,0.5,1.67,1.2,2.0,3.34,2.8,0.5,0.0,0.2,0.0,0.0,0.0,0.5,1.0,0.8,0.5,0.0,0.2,1.0,0.0,0.0,0.33,0.5,0.4,1.33,0.5,0.4,0.67,0.5,0.6,0.33,1.0,0.6,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,48,,,,0-0,,,,,,,,Segundo amarelo,,,,,,,,1,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,V,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.6,0.4,6,2,9,9,56,45,44,28,0,1,11,15,3,6
Brasileirão Série A,2018,Brasil,6,Flamengo,Vasco,1 - 1,E,1,1,2018-05-19 19:00:00,Noite,Sábado,1,7,V,D,E,V,V,D,D,V,D,E,2.0,2.33,2.2,0.0,1.67,1.0,2.0,4.0,3.2,1.0,0.33,0.6,0.0,0.0,0.0,0.0,1.0,0.6,1.0,0.0,0.4,2.67,1.0,2.25,1.67,1.0,1.5,4.34,2.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,95,97,,,95,95,,,1-1,1-1,1-1,1-1,,,,,Vermelho direto,Vermelho direto,Vermelho direto,Vermelho direto,,,,,0,0,0,0,0,0,0,0,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,E,E,E,E,,,,,E,E,E,E,,,,,Mandante,Visitante,Visitante,Mandante,,,,,2,2,0.57,0.43,2,7,5,7,59,45,34,27,2,0,15,22,6,11
Brasileirão Série A,2018,Brasil,6,São Paulo,Santos,1 - 0,V,1,0,2018-05-20 16:00:00,Tarde,Domingo,12,13,E,V,E,E,E,D,V,V,D,D,1.5,1.0,1.2,1.0,1.0,1.0,2.5,2.0,2.2,0.5,0.33,0.4,0.0,0.33,0.2,0.5,0.33,0.4,0.5,0.67,0.6,2.5,0.5,1.5,0.5,3.0,1.75,3.0,3.5,3.25,0.5,0.0,0.25,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,0,1,0,1,0,2,92,,,,,,,,1-0,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Mandante,,,,,,,,1,0,0.43,0.57,0,3,10,4,72,72,54,48,2,1,12,6,4,2
Brasileirão Série A,2018,Brasil,4,Flamengo,Internacional,2 - 0,V,2,0,2018-05-06 16:00:00,Tarde,Domingo,1,10,V,V,E,V,E,E,D,D,V,V,2.0,2.5,2.33,0.0,1.0,0.67,2.0,3.5,3.0,1.0,0.5,0.67,0.0,0.0,0.0,0.0,1.0,0.67,1.0,0.0,0.33,1.0,0.0,0.0,0.0,1.0,0.33,1.0,1.0,0.33,1.0,0.0,0.67,0.5,1.0,0.67,0.0,0.0,0.0,1.0,1.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,79,,,,1-0,,,,,,,,Vermelho direto,,,,,,,,1,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.56,0.44,6,8,5,3,55,41,37,28,1,0,10,11,6,6
Brasileirão Série A,2018,Brasil,4,Sport,Bahia,2 - 0,V,2,0,2018-05-06 19:00:00,Noite,Domingo,14,13,V,E,D,V,D,E,E,V,V,D,1.0,1.0,1.0,1.0,2.0,1.67,2.0,3.0,2.67,0.0,0.0,0.0,0.0,0.5,0.33,0.0,1.0,0.67,1.0,0.0,0.33,0.5,0.0,0.0,0.0,2.0,0.67,0.5,2.0,0.67,1.0,0.0,0.67,0.5,1.0,0.67,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,73,,,,1-0,,,,,,,,Segundo amarelo,,,,,,,,1,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.48,0.52,9,3,7,2,49,43,33,24,1,0,17,21,9,7
Brasileirão Série A,2018,Brasil,4,Chapecoense,Paraná,1 - 1,E,1,1,2018-05-07 20:00:00,Noite,Segunda-feira,16,20,E,E,E,D,D,D,D,D,E,V,1.0,0.5,0.67,1.0,2.5,2.0,2.0,3.0,2.67,0.0,0.5,0.33,0.0,0.5,0.33,0.0,0.5,0.33,1.0,0.5,0.67,0.5,0.0,0.0,3.0,1.0,2.33,3.5,1.0,2.33,0.0,0.0,0.0,0.5,1.0,0.67,1.0,0.0,0.0,0.0,1.0,0.33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,81,,,,1-1,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.45,0.55,1,2,10,13,65,79,36,49,0,1,10,16,6,4
Brasileirão Série A,2018,Brasil,3,América MG,Vitória,2 - 1,V,2,1,2018-04-30 20:00:00,Noite,Segunda-feira,8,15,D,V,D,D,V,E,D,V,E,D,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,1.5,2.0,2.0,2.0,4.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,82,,,,,,,,2-1,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Mandante,,,,,,,,1,0,0.41,0.59,8,4,4,5,61,61,40,49,0,3,14,11,8,7
Brasileirão Série A,2018,Brasil,3,Santos,Vasco,1 - 1,E,1,1,2018-09-27 20:00:00,Noite,Quinta-Feira,11,16,D,E,V,E,V,V,E,D,D,D,1.5,0.85,1.16,0.75,1.23,1.0,2.25,2.08,2.16,0.42,0.38,0.4,0.33,0.38,0.36,0.33,0.31,0.32,0.67,0.69,0.68,1.64,0.55,1.16,1.5,1.45,1.48,3.14,2.0,2.64,0.14,0.09,0.12,0.07,0.45,0.24,0.64,0.36,0.52,0.36,0.64,0.48,1,2,2,0,4,2,5,1,3,2,3,2,0,3,2,1,0,2,2,1,1,5,1,4,,,,,87,,,,1-1,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.55,0.45,2,2,7,7,73,61,42,35,2,0,12,16,10,6
