nome_campeonato,temporada,pais,rodada,time_dentro,time_fora,resultado_final,resultado_final_v_d_e,gols_mandante,gols_visitante,horario,turno,dia_semana,posicao_time_dentro,posicao_time_fora,ultimo_jogo_casa,segundo_ultimo_jogo_casa,terceiro_ultimo_jogo_casa,quarto_ultimo_jogo_casa,quinto_ultimo_jogo_casa,ultimo_jogo_visitante,segundo_ultimo_jogo_visitante,terceiro_ultimo_jogo_visitante,quarto_ultimo_jogo_visitante,quinto_ultimo_jogo_visitante,media_gols_marcados_por_jogo_time_casa_em_casa,media_gols_marcados_por_jogo_time_casa_fora,media_gols_marcados_por_jogo_time_casa_global,media_gols_sofridos_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_casa_fora,media_gols_sofridos_por_jogo_time_casa_global,media_gols_marcados_sofridos_por_jogo_time_casa_em_casa,media_gols_marcados_sofridos_por_jogo_time_casa_fora,media_gols_marcados_sofridos_por_jogo_time_casa_global,jogos_sem_sofrer_gols_time_casa_em_casa,jogos_sem_sofrer_gols_time_casa_fora,jogos_sem_sofrer_gols_time_casa_global,jogos_sem_marcar_gols_time_casa_em_casa,jogos_sem_marcar_gols_time_casa_fora,jogos_sem_marcar_gols_time_casa_global,jogos_com_mais_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_casa_fora,jogos_com_mais_de_dois_gols_e_meio_time_casa_global,jogos_com_menos_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_casa_fora,jogos_com_menos_de_dois_gols_e_meio_time_casa_global,media_gols_marcados_por_jogo_time_visitante_em_casa,media_gols_marcados_por_jogo_time_visitante_fora,media_gols_marcados_por_jogo_time_visitante_global,media_gols_sofridos_por_jogo_time_visitante_em_casa,media_gols_sofridos_por_jogo_time_visitante_fora,media_gols_sofridos_por_jogo_time_visitante_global,media_gols_marcados_sofridos_por_jogo_time_visitante_em_casa,media_gols_marcados_sofridos_por_jogo_time_visitante_fora,media_gols_marcados_sofridos_por_jogo_time_visitante_global,jogos_sem_sofrer_gols_time_visitante_em_casa,jogos_sem_sofrer_gols_time_visitante_fora,jogos_sem_sofrer_gols_time_visitante_global,jogos_sem_marcar_gols_time_visitante_em_casa,jogos_sem_marcar_gols_time_visitante_fora,jogos_sem_marcar_gols_time_visitante_global,jogos_com_mais_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_visitante_fora,jogos_com_mais_de_dois_gols_e_meio_time_visitante_global,jogos_com_menos_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_visitante_fora,jogos_com_menos_de_dois_gols_e_meio_time_visitante_global,gols_marcados_time_casa_primeiro_sexto,gols_sofridos_time_casa_primeiro_sexto,gols_marcados_time_casa_segundo_sexto,gols_sofridos_time_casa_segundo_sexto,gols_marcados_time_casa_terceiro_sexto,gols_sofridos_time_casa_terceiro_sexto,gols_marcados_time_casa_quarto_sexto,gols_sofridos_time_casa_quarto_sexto,gols_marcados_time_casa_quinto_sexto,gols_sofridos_time_casa_quinto_sexto,gols_marcados_time_casa_ultimo_sexto,gols_sofridos_time_casa_ultimo_sexto,gols_marcados_time_visitante_primeiro_sexto,gols_sofridos_time_visitante_primeiro_sexto,gols_marcados_time_visitante_segundo_sexto,gols_sofridos_time_visitante_segundo_sexto,gols_marcados_time_visitante_terceiro_sexto,gols_sofridos_time_visitante_terceiro_sexto,gols_marcados_time_visitante_quarto_sexto,gols_sofridos_time_visitante_quarto_sexto,gols_marcados_time_visitante_quinto_sexto,gols_sofridos_time_visitante_quinto_sexto,gols_marcados_time_visitante_ultimo_sexto,gols_sofridos_time_visitante_ultimo_sexto,minuto_primeira_expulsao_time_a,minuto_segunda_expulsao_time_a,minuto_terceira_expulsao_time_a,minuto_quarta_expulsao_time_a,minuto_primeira_expulsao_time_b,minuto_segunda_expulsao_time_b,minuto_terceira_expulsao_time_b,minuto_quarta_expulsao_time_b,placar_momento_expulsao_um,placar_momento_expulsao_dois,placar_momento_expulsao_tres,placar_momento_expulsao_quatro,placar_momento_expulsao_cinco,placar_momento_expulsao_seis,placar_momento_expulsao_sete,placar_momento_expulsao_oito,expulsao_um_cartao,expulsao_dois_cartao,expulsao_tres_cartao,expulsao_quatro_cartao,expulsao_cinco_cartao,expulsao_seis_cartao,expulsao_sete_cartao,expulsao_oito_cartao,quantidade_de_gols_apos_expulsao_um_time_a,quantidade_de_gols_apos_expulsao_um_time_b,quantidade_de_gols_apos_expulsao_dois_time_a,quantidade_de_gols_apos_expulsao_dois_time_b,quantidade_de_gols_apos_expulsao_tres_time_a,quantidade_de_gols_apos_expulsao_tres_time_b,quantidade_de_gols_apos_expulsao_quatro_time_a,quantidade_de_gols_apos_expulsao_quatro_time_b,quantidade_de_gols_apos_expulsao_cinco_time_a,quantidade_de_gols_apos_expulsao_cinco_time_b,quantidade_de_gols_apos_expulsao_seis_time_a,quantidade_de_gols_apos_expulsao_seis_time_b,quantidade_de_gols_apos_expulsao_sete_time_a,quantidade_de_gols_apos_expulsao_sete_time_b,quantidade_de_gols_apos_expulsao_oito_time_a,quantidade_de_gols_apos_expulsao_oito_time_b,quantidade_de_gols_no_momento_expulsao_um_time_a,quantidade_de_gols_no_momento_expulsao_um_time_b,quantidade_de_gols_no_momento_expulsao_dois_time_a,quantidade_de_gols_no_momento_expulsao_dois_time_b,quantidade_de_gols_no_momento_expulsao_tres_time_a,quantidade_de_gols_no_momento_expulsao_tres_time_b,quantidade_de_gols_no_momento_expulsao_quatro_time_a,quantidade_de_gols_no_momento_expulsao_quatro_time_b,quantidade_de_gols_no_momento_expulsao_cinco_time_a,quantidade_de_gols_no_momento_expulsao_cinco_time_b,quantidade_de_gols_no_momento_expulsao_seis_time_a,quantidade_de_gols_no_momento_expulsao_seis_time_b,quantidade_de_gols_no_momento_expulsao_sete_time_a,quantidade_de_gols_no_momento_expulsao_sete_time_b,quantidade_de_gols_no_momento_expulsao_oito_time_a,quantidade_de_gols_no_momento_expulsao_oito_time_b,intervalo_expulsao_um_v_d_e,intervalo_expulsao_dois_v_d_e,intervalo_expulsao_tres_v_d_e,intervalo_expulsao_quatro_v_d_e,intervalo_expulsao_cinco_v_d_e,intervalo_expulsao_seis_v_d_e,intervalo_expulsao_sete_v_d_e,intervalo_expulsao_oito_v_d_e,momento_expulsao_um_v_d_e,momento_expulsao_dois_v_d_e,momento_expulsao_tres_v_d_e,momento_expulsao_quatro_v_d_e,momento_expulsao_cinco_v_d_e,momento_expulsao_seis_v_d_e,momento_expulsao_sete_v_d_e,momento_expulsao_oito_v_d_e,expulsao_um_m_v,expulsao_dois_m_v,expulsao_tres_m_v,expulsao_quatro_m_v,expulsao_cinco_m_v,expulsao_seis_m_v,expulsao_sete_m_v,expulsao_oito_m_v,qtd_expulsoes_time_a,qtd_expulsoes_time_b,posse_time_a,posse_time_b,chutes_a_gol_time_a,chutes_a_gol_time_b,chutes_fora_time_a,chutes_fora_time_b,ataques_time_a,ataques_time_b,ataques_perigosos_time_a,ataques_perigosos_time_b,impedimentos_time_a,impedimentos_time_b,faltas_time_a,faltas_time_b,escanteios_time_a,escanteios_time_b
Primera Division,2019,Uruguai,3,Cerro,Danubio,0 - 1,D,0,1,2019-09-22 16:00:00,Tarde,Domingo,6,15,E,V,V,D,D,D,D,D,D,D,0.64,1.0,0.83,1.18,1.46,1.33,1.82,2.46,2.16,0.27,0.23,0.25,0.55,0.31,0.42,0.18,0.46,0.33,0.82,0.54,0.67,1.25,1.08,1.17,1.33,1.5,1.42,2.58,2.58,2.59,0.25,0.33,0.29,0.25,0.42,0.33,0.42,0.33,0.38,0.58,0.67,0.63,1,1,1,8,1,1,0,1,2,1,2,1,2,2,4,2,1,6,2,3,3,4,1,1,,,,,86,,,,0-0,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,D,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,,,,,,,,,,,,,,,,
Primera Division,2019,Uruguai,3,River Plate,Boston River,1 - 4,D,1,4,2019-09-22 16:00:00,Tarde,Domingo,4,12,E,V,E,V,V,E,D,E,E,V,1.55,0.64,1.04,0.91,1.79,1.4,2.46,2.43,2.44,0.27,0.14,0.2,0.27,0.43,0.36,0.55,0.29,0.4,0.45,0.71,0.6,1.08,1.0,1.04,1.75,1.08,1.42,2.83,2.08,2.46,0.25,0.33,0.29,0.33,0.42,0.38,0.58,0.42,0.5,0.42,0.58,0.5,4,2,4,1,3,3,2,2,0,1,4,1,2,1,4,2,2,1,0,1,2,4,2,4,87,,,,,,,,0-4,,,,,,,,Vermelho direto,,,,,,,,1,0,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,V,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.62,0.38,4,2,5,2,91,78,55,25,0,3,15,8,6,4
Primera Division,2019,Uruguai,3,Fénix,Wanderers,3 - 3,E,3,3,2019-09-22 16:00:00,Tarde,Domingo,9,16,E,E,D,V,D,D,D,D,E,V,2.45,1.46,1.92,1.45,1.77,1.63,3.9,3.23,3.55,0.27,0.15,0.21,0.09,0.23,0.17,0.73,0.62,0.67,0.27,0.38,0.33,1.08,1.58,1.33,1.33,2.17,1.75,2.41,3.75,3.08,0.25,0.08,0.17,0.42,0.17,0.29,0.42,0.83,0.63,0.58,0.17,0.38,5,2,5,3,5,5,5,0,2,3,5,3,1,8,4,3,6,4,0,2,3,4,5,5,,,,,90,,,,3-3,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.41,0.59,3,4,4,6,83,89,46,34,14,1,18,13,7,4
Primera Division,2019,Uruguai,1,Progreso,Rampla Juniors,2 - 2,E,2,2,2019-09-15 16:00:00,Tarde,Domingo,3,13,E,E,V,V,D,V,D,D,E,V,1.55,1.64,1.59,0.82,2.09,1.45,2.37,3.73,3.04,0.45,0.27,0.36,0.27,0.36,0.32,0.45,0.64,0.55,0.55,0.36,0.45,1.18,1.27,1.23,1.27,1.91,1.59,2.45,3.18,2.82,0.36,0.09,0.23,0.36,0.27,0.32,0.36,0.55,0.45,0.64,0.45,0.55,1,1,3,3,3,3,2,1,2,0,6,1,2,2,4,1,2,3,2,6,2,3,2,6,82,,,,4,82,,,0-0,2-2,2-2,,,,,,Vermelho direto,Vermelho direto,Vermelho direto,,,,,,2,2,0,0,0,0,,,,,,,,,,,0,0,2,2,2,2,,,,,,,,,,,E,E,E,,,,,,E,E,E,,,,,,Visitante,Mandante,Visitante,,,,,,1,2,0.51,0.49,3,2,4,5,93,84,54,34,5,1,22,13,2,2
Primera Division,2016,Uruguai,15,Racing,Juventud,2 - 0,V,2,0,2016-12-10 18:00:00,Noite,Sábado,10,9,D,E,V,D,V,D,V,D,E,E,1.83,1.38,1.57,1.83,1.88,1.86,3.66,3.26,3.43,0.0,0.0,0.0,0.17,0.0,0.0,0.67,0.63,0.64,0.33,0.38,0.36,0.86,0.43,0.64,0.29,1.0,0.64,1.15,1.43,1.28,0.71,0.14,0.43,0.43,0.57,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1,2,1,1,2,4,3,0,1,0,3,4,0,0,1,2,2,0,0,1,0,3,0,1,,,,,90,,,,2-0,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.47,0.53,4,1,6,5,64,74,44,59,1,1,17,12,4,4
Primera Division,2016,Uruguai,15,Peñarol,Defensor Sp.,0 - 2,D,0,2,2016-12-10 18:15:00,Noite,Sábado,12,6,D,D,D,V,V,V,E,V,E,V,0.83,1.5,1.21,1.17,1.38,1.29,2.0,2.88,2.5,0.33,0.25,0.29,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.13,1.83,1.43,1.13,1.0,1.07,2.26,2.83,2.5,0.25,0.5,0.36,0.38,0.0,0.0,0.38,0.5,0.43,0.63,0.5,0.57,1,1,1,0,0,0,1,0,1,1,1,2,0,1,1,1,4,0,1,1,2,1,3,2,,,,,88,,,,0-2,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,,,,,,,,,,,,,,,,
Primera Division,2016,Uruguai,15,Rampla Juniors,Wanderers,1 - 1,E,1,1,2016-12-11 18:00:00,Noite,Domingo,11,2,D,E,V,D,D,V,V,V,D,E,0.57,0.57,0.57,0.57,1.57,1.07,1.14,2.14,1.64,0.57,0.14,0.36,0.57,0.57,0.57,0.14,0.43,0.29,0.86,0.57,0.71,1.63,1.33,1.5,1.0,0.83,0.93,2.63,2.16,2.43,0.38,0.33,0.36,0.13,0.0,0.0,0.5,0.33,0.43,0.5,0.67,0.57,0,0,1,0,1,1,1,1,0,0,1,2,0,1,0,1,2,0,1,0,1,0,4,3,,,,,93,,,,1-1,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.41,0.59,4,6,5,1,37,47,29,23,1,1,25,13,3,1
Primera Division,2016,Uruguai,14,Sud América,Cerro,0 - 2,D,0,2,2016-12-03 17:30:00,Tarde,Sábado,13,7,E,E,V,D,D,E,V,E,D,D,1.17,1.0,1.08,1.5,1.29,1.38,2.67,2.29,2.46,0.33,0.14,0.23,0.33,0.43,0.38,0.5,0.43,0.46,0.5,0.57,0.54,0.86,1.33,1.08,1.14,1.0,1.08,2.0,2.33,2.16,0.43,0.33,0.38,0.43,0.17,0.31,0.29,0.33,0.31,0.71,0.67,0.69,1,0,1,2,1,1,1,0,1,2,2,4,1,1,1,1,1,1,3,1,2,1,0,1,81,,,,,,,,0-2,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.5,0.5,7,6,6,5,43,47,34,27,1,4,17,23,2,3
Primera Division,2016,Uruguai,14,River Plate,Peñarol,3 - 1,V,3,1,2016-12-03 17:30:00,Tarde,Sábado,14,11,V,D,V,D,D,D,D,V,V,D,1.0,1.14,1.08,2.83,1.43,2.08,3.83,2.57,3.16,0.0,0.29,0.15,0.33,0.14,0.23,1.0,0.57,0.77,0.0,0.43,0.23,0.83,1.57,1.23,1.17,1.14,1.15,2.0,2.71,2.38,0.33,0.29,0.31,0.5,0.57,0.54,0.5,0.43,0.46,0.5,0.57,0.54,2,1,1,4,1,3,1,1,0,5,1,3,1,2,2,3,3,2,0,0,2,0,3,1,90,,,,52,,,,2-0,3-1,,,,,,,Vermelho direto,Vermelho direto,,,,,,,1,1,0,0,,,,,,,,,,,,,2,0,3,1,,,,,,,,,,,,,E,E,,,,,,,V,V,,,,,,,Visitante,Mandante,,,,,,,1,1,,,,,,,,,,,,,,,,
Primera Division,2016,Uruguai,13,Sud América,Racing,2 - 2,E,2,2,2016-11-26 17:00:00,Tarde,Sábado,13,8,E,V,D,D,D,V,D,V,D,V,1.0,1.0,1.0,1.4,1.29,1.33,2.4,2.29,2.33,0.4,0.14,0.25,0.4,0.43,0.42,0.4,0.43,0.42,0.6,0.57,0.58,1.83,1.33,1.58,1.83,1.83,1.83,3.66,3.16,3.41,0.0,0.0,0.0,0.17,0.0,0.0,0.67,0.5,0.58,0.33,0.5,0.42,0,0,1,2,0,1,1,0,1,2,2,2,4,1,1,2,0,3,1,1,1,3,1,1,58,73,,,,,,,2-0,2-0,,,,,,,Vermelho direto,Vermelho direto,,,,,,,0,0,0,2,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,E,D,,,,,,,V,V,,,,,,,Mandante,Mandante,,,,,,,2,0,,,,,,,,,,,,,,,,
