posicao_time_dentro,posicao_time_fora,media_gols_marcados_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_visitante_fora,gols_marcados_time_casa_segundo_sexto,gols_marcados_time_visitante_segundo_sexto,gols_sofridos_time_visitante_quinto_sexto,quantidade_de_gols_no_momento_expulsao_um_time_a,minuto_expulsao_um,minuto_expulsao_dois,diferenca_gols_expulsao_um,diferenca_gols_expulsao_dois,expulsao_dois_m_v_Visitante,quarto_ultimo_jogo_visitante_V,momento_expulsao_um_v_d_e_V,expulsao_um_m_v_Mandante,momento_expulsao_dois_v_d_e_D,momento_expulsao_dois_v_d_e_E,momento_expulsao_dois_v_d_e_V,resultado_final_v_d_e
17,3,1.0,2.5,1.25,1,0,1,0,12,False,-1,False,0,1,0,1,0,0,0,D
2,12,3.5,1.0,2.0,2,2,2,3,87,False,3,False,0,1,1,1,0,0,0,V
18,13,0.5,0.5,1.0,0,0,0,1,82,False,0,False,0,1,0,1,0,0,0,E
15,14,1.25,1.0,1.5,1,1,0,0,35,False,-1,False,0,0,0,0,0,0,0,V
11,15,1.67,1.0,1.67,0,0,2,0,56,False,0,False,0,0,0,0,0,0,0,V
7,13,2.33,0.67,1.0,2,0,3,1,31,False,1,False,0,0,1,1,0,0,0,V
3,17,1.67,0.67,2.0,0,1,3,1,43,False,1,False,0,0,1,0,0,0,0,V
12,19,0.5,0.0,1.5,0,0,0,0,73,False,0,False,0,1,0,0,0,0,0,E
7,17,2.0,1.5,2.0,0,0,2,0,41,False,-1,False,0,1,0,1,0,0,0,V
10,13,1.0,1.0,1.5,0,0,3,0,85,False,-1,False,0,0,0,1,0,0,0,D
18,7,1.5,1.0,1.0,1,0,1,0,67,False,0,False,0,0,0,0,0,0,0,E
18,5,1.0,2.0,1.0,0,1,0,1,73,False,0,False,0,0,0,1,0,0,0,E
10,16,0.0,0.0,3.0,0,0,1,0,54,False,0,False,0,0,0,0,0,0,0,V
12,15,1.0,0.0,0.0,0,0,0,3,95,False,1,False,0,0,1,0,0,0,0,V
5,19,1.0,1.0,3.0,0,0,3,0,30,False,0,False,0,1,0,1,0,0,0,D
6,16,0.0,0.0,0.0,0,0,0,0,76,False,0,False,0,0,0,0,0,0,0,E
10,11,1.39,1.33,1.5,3,5,2,1,48,False,-1,False,0,0,0,1,0,0,0,D
14,3,1.61,1.39,1.22,4,8,3,0,43,48,0,0,1,0,0,0,0,1,0,V
